cache_size	 cache_line_size	 associativity	data_size	 time
32768	16	2	4096	25120
32768	16	2	8192	79477
32768	16	2	16384	191192
32768	16	2	32768	452994
32768	16	4	4096	25187
32768	16	4	8192	78077
32768	16	4	16384	180904
32768	16	4	32768	411373
32768	32	2	4096	25917
32768	32	2	8192	73936
32768	32	2	16384	180219
32768	32	2	32768	436354
32768	32	4	4096	25972
32768	32	4	8192	70689
32768	32	4	16384	164264
32768	32	4	32768	373912
65536	16	2	4096	23130
65536	16	2	8192	57911
65536	16	2	16384	183664
65536	16	2	32768	431072
65536	16	4	4096	25131
65536	16	4	8192	58043
65536	16	4	16384	180346
65536	16	4	32768	409954
65536	32	2	4096	23079
65536	32	2	8192	59761
65536	32	2	16384	167321
65536	32	2	32768	397007
65536	32	4	4096	25913
65536	32	4	8192	59909
65536	32	4	16384	164813
65536	32	4	32768	374969
131072	16	2	4096	23189
131072	16	2	8192	53280
131072	16	2	16384	132415
131072	16	2	32768	415701
131072	16	4	4096	23184
131072	16	4	8192	57963
131072	16	4	16384	132640
131072	16	4	32768	411018
131072	32	2	4096	23087
131072	32	2	8192	53142
131072	32	2	16384	136725
131072	32	2	32768	378687
131072	32	4	4096	23091
131072	32	4	8192	59776
131072	32	4	16384	137007
131072	32	4	32768	371458
262144	16	2	4096	23269
262144	16	2	8192	53371
262144	16	2	16384	121722
262144	16	2	32768	300241
262144	16	4	4096	23264
262144	16	4	8192	53364
262144	16	4	16384	132514
262144	16	4	32768	300746
262144	32	2	4096	23130
262144	32	2	8192	53187
262144	32	2	16384	121407
262144	32	2	32768	310090
262144	32	4	4096	23128
262144	32	4	8192	53183
262144	32	4	16384	136773
262144	32	4	32768	310658
