cache_size	 cache_line_size	 associativity	 data_size	 kernel_size	time
32768	16	2	50	3	9084
32768	16	2	50	7	36282
32768	16	2	50	20	273298
32768	16	2	100	3	36902
32768	16	2	100	7	146828
32768	16	2	100	20	1098755
32768	16	2	200	3	146050
32768	16	2	200	7	584033
32768	16	2	200	20	4402643
32768	16	2	300	3	343077
32768	16	2	300	7	1335017
32768	16	2	300	20	9910634
32768	16	2	400	3	633296
32768	16	2	400	7	2377876
32768	16	2	400	20	17635400
32768	16	2	500	3	988485
32768	16	2	500	7	3718720
32768	16	2	500	20	27531351
32768	16	2	600	3	1425457
32768	16	2	600	7	5353346
32768	16	2	600	20	39643851
32768	16	2	700	3	1927406
32768	16	2	700	7	7287112
32768	16	2	700	20	53963213
32768	16	2	800	3	2532937
32768	16	2	800	7	9508730
32768	16	2	800	20	70493168
32768	16	2	900	3	3213278
32768	16	2	900	7	12046347
32768	16	2	900	20	89207920
32768	16	2	1000	3	3959160
32768	16	2	1000	7	14860794
32768	16	2	1000	20	110237304
32768	16	4	50	3	8974
32768	16	4	50	7	36002
32768	16	4	50	20	273028
32768	16	4	100	3	35796
32768	16	4	100	7	143951
32768	16	4	100	20	1094441
32768	16	4	200	3	145720
32768	16	4	200	7	586747
32768	16	4	200	20	4404213
32768	16	4	300	3	351316
32768	16	4	300	7	1338230
32768	16	4	300	20	9912722
32768	16	4	400	3	633477
32768	16	4	400	7	2378406
32768	16	4	400	20	17622844
32768	16	4	500	3	986210
32768	16	4	500	7	3715090
32768	16	4	500	20	27544952
32768	16	4	600	3	1423802
32768	16	4	600	7	5353948
32768	16	4	600	20	39652298
32768	16	4	700	3	1932081
32768	16	4	700	7	7291918
32768	16	4	700	20	53983645
32768	16	4	800	3	2532358
32768	16	4	800	7	9508596
32768	16	4	800	20	70499331
32768	16	4	900	3	3214054
32768	16	4	900	7	12047733
32768	16	4	900	20	89248719
32768	16	4	1000	3	3960334
32768	16	4	1000	7	14865557
32768	16	4	1000	20	110147522
32768	32	2	50	3	9197
32768	32	2	50	7	36297
32768	32	2	50	20	273264
32768	32	2	100	3	38083
32768	32	2	100	7	146719
32768	32	2	100	20	1097246
32768	32	2	200	3	154395
32768	32	2	200	7	590411
32768	32	2	200	20	4392076
32768	32	2	300	3	352521
32768	32	2	300	7	1329659
32768	32	2	300	20	9883464
32768	32	2	400	3	629118
32768	32	2	400	7	2362491
32768	32	2	400	20	17584004
32768	32	2	500	3	978462
32768	32	2	500	7	3693311
32768	32	2	500	20	27460991
32768	32	2	600	3	1412462
32768	32	2	600	7	5313837
32768	32	2	600	20	39542052
32768	32	2	700	3	1911100
32768	32	2	700	7	7235426
32768	32	2	700	20	53809690
32768	32	2	800	3	2515250
32768	32	2	800	7	9442349
32768	32	2	800	20	70297210
32768	32	2	900	3	3168772
32768	32	2	900	7	11958767
32768	32	2	900	20	88963333
32768	32	2	1000	3	3936191
32768	32	2	1000	7	14781009
32768	32	2	1000	20	109913463
32768	32	4	50	3	8938
32768	32	4	50	7	35946
32768	32	4	50	20	273086
32768	32	4	100	3	36049
32768	32	4	100	7	144999
32768	32	4	100	20	1096420
32768	32	4	200	3	157034
32768	32	4	200	7	591593
32768	32	4	200	20	4394339
32768	32	4	300	3	352447
32768	32	4	300	7	1329423
32768	32	4	300	20	9888603
32768	32	4	400	3	628895
32768	32	4	400	7	2363001
32768	32	4	400	20	17580011
32768	32	4	500	3	977618
32768	32	4	500	7	3690749
32768	32	4	500	20	27474182
32768	32	4	600	3	1412438
32768	32	4	600	7	5316063
32768	32	4	600	20	39556146
32768	32	4	700	3	1918915
32768	32	4	700	7	7243402
32768	32	4	700	20	53850241
32768	32	4	800	3	2515275
32768	32	4	800	7	9444287
32768	32	4	800	20	70328372
32768	32	4	900	3	3166254
32768	32	4	900	7	11968302
32768	32	4	900	20	89015025
32768	32	4	1000	3	3924639
32768	32	4	1000	7	14762698
32768	32	4	1000	20	109903638
65536	16	2	50	3	9012
65536	16	2	50	7	35994
65536	16	2	50	20	272939
65536	16	2	100	3	36926
65536	16	2	100	7	146834
65536	16	2	100	20	1097996
65536	16	2	200	3	143100
