 data_size	 kernel_size	time
50	3	14328
50	7	63219
50	20	490318
100	3	57394
100	7	255688
100	20	1994139
200	3	231934
200	7	1054359
200	20	8253061
300	3	522703
300	7	2377617
300	20	18685877
400	3	934103
400	7	4240895
400	20	33309983
500	3	1453412
500	7	6629508
500	20	52146361
600	3	2099017
600	7	9539144
600	20	75106226
700	3	2834608
700	7	12933839
700	20	102195069
800	3	3731011
800	7	16829564
800	20	133217669
900	3	4703218
900	7	21364580
900	20	168649779
1000	3	5843948
1000	7	26546849
1000	20	208886183
