cache_size	 cache_line_size	 associativity	 data_size	 time
32768	16	2	100	13485
32768	16	2	200	53542
32768	16	2	250	83552
32768	16	2	280	104777
32768	16	4	100	13475
32768	16	4	200	53574
32768	16	4	250	83594
32768	16	4	280	104784
32768	32	2	100	13401
32768	32	2	200	53351
32768	32	2	250	83269
32768	32	2	280	104404
32768	32	4	100	13409
32768	32	4	200	53357
32768	32	4	250	83293
32768	32	4	280	104431
65536	16	2	100	13490
65536	16	2	200	53547
65536	16	2	250	83575
65536	16	2	280	104770
65536	16	4	100	13510
65536	16	4	200	53551
65536	16	4	250	83563
65536	16	4	280	104810
65536	32	2	100	13428
65536	32	2	200	53341
65536	32	2	250	83257
65536	32	2	280	104375
65536	32	4	100	13431
65536	32	4	200	53303
65536	32	4	250	83200
65536	32	4	280	104318
131072	16	2	100	13581
131072	16	2	200	53543
131072	16	2	250	83573
131072	16	2	280	104793
131072	16	4	100	13588
131072	16	4	200	53545
131072	16	4	250	83570
131072	16	4	280	104794
131072	32	2	100	13467
131072	32	2	200	53326
131072	32	2	250	83265
131072	32	2	280	104381
131072	32	4	100	13456
131072	32	4	200	53337
131072	32	4	250	83252
131072	32	4	280	104380
262144	16	2	100	13753
262144	16	2	200	53682
262144	16	2	250	83597
262144	16	2	280	104799
262144	16	4	100	13741
262144	16	4	200	53677
262144	16	4	250	83595
262144	16	4	280	104811
262144	32	2	100	13569
262144	32	2	200	53399
262144	32	2	250	83271
262144	32	2	280	104394
262144	32	4	100	13534
262144	32	4	200	53388
262144	32	4	250	83281
262144	32	4	280	104385
