cache_size	 cache_line_size	 associativity	 data_size	 time
32768	16	2	100	13067
32768	16	2	200	26086
32768	16	2	300	39096
32768	16	2	400	52109
32768	16	2	500	65116
32768	16	2	600	78133
32768	16	2	700	91148
32768	16	4	100	13071
32768	16	4	200	26091
32768	16	4	300	39098
32768	16	4	400	52112
32768	16	4	500	65128
32768	16	4	600	78145
32768	16	4	700	91157
32768	32	2	100	13047
32768	32	2	200	26046
32768	32	2	300	39035
32768	32	2	400	52049
32768	32	2	500	65046
32768	32	2	600	78053
32768	32	2	700	91046
32768	32	4	100	13043
32768	32	4	200	26048
32768	32	4	300	39032
32768	32	4	400	52048
32768	32	4	500	65048
32768	32	4	600	78054
32768	32	4	700	91052
65536	16	2	100	13087
65536	16	2	200	26102
65536	16	2	300	39105
65536	16	2	400	52130
65536	16	2	500	65146
65536	16	2	600	78171
65536	16	2	700	91169
65536	16	4	100	13087
65536	16	4	200	26102
65536	16	4	300	39117
65536	16	4	400	52124
65536	16	4	500	65147
65536	16	4	600	78163
65536	16	4	700	91182
65536	32	2	100	13051
65536	32	2	200	26046
65536	32	2	300	39057
65536	32	2	400	52058
65536	32	2	500	65055
65536	32	2	600	78059
65536	32	2	700	91060
65536	32	4	100	13052
65536	32	4	200	26059
65536	32	4	300	39058
65536	32	4	400	52053
65536	32	4	500	65054
65536	32	4	600	78060
65536	32	4	700	91047
131072	16	2	100	13120
131072	16	2	200	26148
131072	16	2	300	39158
131072	16	2	400	52174
131072	16	2	500	65190
131072	16	2	600	78204
131072	16	2	700	91224
131072	16	4	100	13131
131072	16	4	200	26150
131072	16	4	300	39164
131072	16	4	400	52165
131072	16	4	500	65188
131072	16	4	600	78204
131072	16	4	700	91218
131072	32	2	100	13081
131072	32	2	200	26075
131072	32	2	300	39087
131072	32	2	400	52074
131072	32	2	500	65079
131072	32	2	600	78090
131072	32	2	700	91071
131072	32	4	100	13071
131072	32	4	200	26083
131072	32	4	300	39076
131072	32	4	400	52082
131072	32	4	500	65076
131072	32	4	600	78073
131072	32	4	700	91078
262144	16	2	100	13216
262144	16	2	200	26232
262144	16	2	300	39243
262144	16	2	400	52265
262144	16	2	500	65295
262144	16	2	600	78288
262144	16	2	700	91299
262144	16	4	100	13213
262144	16	4	200	26220
262144	16	4	300	39228
262144	16	4	400	52245
262144	16	4	500	65272
262144	16	4	600	78274
262144	16	4	700	91288
262144	32	2	100	13129
262144	32	2	200	26241
262144	32	2	300	39109
262144	32	2	400	52122
262144	32	2	500	65116
262144	32	2	600	78123
262144	32	2	700	91121
262144	32	4	100	13112
262144	32	4	200	26122
262144	32	4	300	39106
262144	32	4	400	52105
262144	32	4	500	65121
262144	32	4	600	78120
262144	32	4	700	91105
